Product,Description,Provider,Website
百度AI开放平台,提供语音、图像、自然语言处理等 AI 技术接口和工具,百度,https://ai.baidu.com/
腾讯云AI开发平台,提供面向各行业的视觉、语音、自然语言处理等 AI 解决方案,腾讯,https://cloud.tencent.com/product/ai
阿里云人工智能平台,提供面向企业的视觉、语音、自然语言处理等 AI 解决方案,阿里云,https://www.aliyun.com/product/ai
华为云AI开发平台,提供图像、语音、机器学习等多种 AI 技术解决方案,华为云,https://www.huaweicloud.com/product/ai.html
海康威视智慧云,提供视频监控、人脸识别等 AI 技术解决方案,海康威视,https://www.hikvision.com/cn/products/cloud/
知乎 Live AI,通过知乎 Live 平台，提供机器翻译、智能问答等 AI 技术应用,知乎,https://www.zhihu.com/lives/ai
奇安信AI应用平台,提供面向企业的 AI 安全解决方案，包括网络安全、终端安全等,奇安信,https://aip.qianxin.com/
云从科技,提供人脸识别、语音识别等 AI 解决方案和产品,云从科技,https://www.cloudwalk.cn/
图森未来,提供智能驾驶、智能交通等 AI 技术解决方案,图森未来,https://www.tusimple.com/
七牛云智能图像处理,提供视觉识别、图像搜索等 AI 技术解决方案,七牛云,https://www.qiniu.com/products/picplus
Face++,人脸识别技术提供商，提供人脸检测、人脸比对、面部分析等功能,北京旷视科技有限公司,https://www.faceplusplus.com.cn/
商汤科技,提供人脸识别、图像识别等多种AI技术，可接入API或SDK,商汤科技,https://www.sensetime.com/
中科院深度学习框架,面向自然语言处理和图像处理的深度学习框架，提供多种预训练模型,中国科学院自动化研究所,https://github.com/thunlp/OpenNRE
讯飞,语音识别、自然语言处理等多种AI技术,讯飞,https://www.xfyun.cn/?aiworkcn.com
北京智源人工智能,图像识别、自然语言处理等多种AI技术,北京智源人工智能科技有限公司,http://www.zhiiyuan.com/
聚合数据,人脸情绪识别、意图分析等多种AI技术,上海数慧信息科技有限公司,http://www.juhe.cn/docs/index/cid/1
阿里云人脸识别,高精度、高效率的人脸识别服务，支持人脸检测、人脸比对、人脸分析等功能。,阿里云,https://www.aliyun.com/product/face-recognition
腾讯AI开放平台,图像识别、自然语言处理、语音识别等领域的AI算法、API、SDK等服务,腾讯,https://ai.qq.com/
京东AI开放平台,人脸识别、OCR识别、图像识别等应用场景的AI技术平台,京东云,https://www.jdcloud.com/cn/products/ai
华为Ascend AI处理器,提供高效能、低功耗的AI处理器，可应用于人脸识别、语音识别、图像识别等领域。,华为,https://consumer.huawei.com/cn/ai-computing/home/
微软认知服务,提供多种AI服务，包括计算机视觉、自然语言处理、语音识别等，支持多种编程语言。,微软,https://azure.microsoft.com/zh-cn/services/cognitive-services/
蚂蚁金服飞天众包,提供人工智能数据标注服务，可帮助企业快速获取高质量的训练数据。,蚂蚁金服,https://tech.antfin.com/products/ai/flybird/
翻译侠智能翻译,提供多语种翻译服务，支持语音翻译、图像翻译等功能。,北京翻译侠科技有限公司,https://www.fanyiapp.com/
阿里巴巴AI,提供智能客服、语音技术、图像识别、自然语言处理等AI技术,阿里巴巴,https://www.aliyun.com/solution/ai
大疆机器人,提供无人机，机器人等产品以及相关的AI技术解决方案,大疆创新,https://www.dji.com/cn
果知智能,提供基于AI的金融风控和信用评估技术,果知智能,http://www.guozhi-ai.com
